market_id,market_slug,market_name,question,description,category,tags,event_slug,event_title,volume,liquidity,closed,close_time,clob_token_ids,market_url,relevance_score,primary_topic,country_or_region,event_family,information_structure,hard_rejected,classification_reason
540843,will-china-invades-taiwan-before-gta-vi-716-644,Will China invades Taiwan before GTA VI?,Will China invades Taiwan before GTA VI?,"This market will resolve to ""Yes"" if China commences a military offensive intended to establish control over any portion of the Republic of China (Taiwan) before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

An announcement of Trump's resignation/removal, or a scheduled departure from office due to the outcome of an election will not alone qualify.

Territory under the administration of the Republic of China including any inhabited islands will qualify, however uninhabited islands will not qualify.

The resolution source for China invading Taiwan will be will be official confirmation by China, Taiwan, the United Nations, or any permanent member of the UN Security Council, however a consensus of credible reporting will also be use
",,,what-will-happen-before-gta-vi,What will happen before GTA VI?,1907867.3260500673,61792.9524,False,2026-07-31T12:00:00Z,"[""21695138873211375451055566770107682325494206727818897067665810321709249824909"", ""17516427576383382756368467656206258206490015951115433065318503962238754362428""]",https://polymarket.com/market/will-china-invades-taiwan-before-gta-vi-716-644,100.0,military_conflict,united_states,what-will-happen-before-gta-vi,asymmetry_prone,False,matched military_conflict keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus
559651,xi-jinping-out-before-2027,Xi Jinping out before 2027?,Xi Jinping out before 2027?,"This market will resolve to ""Yes"" if China's General Secretary of the Communist Party, Xi Jinping, is removed from power for any length of time between July 3, 2025, and December 31, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

CCP General Secretary Xi Jinping will be considered removed from power if he announces his resignation from his role as General Secretary, or is otherwise dismissed, detained, disqualified, or otherwise loses his position or is prevented from fulfilling his duties as General Secretary within this market's timeframe.

The primary resolution source for this market will be a consensus of credible reporting.",,,xi-jinping-out-before-2027,Xi Jinping out before 2027?,11341312.297606941,228992.33755,False,2026-12-31T00:00:00Z,"[""32338220190071351435772801779725302244575775216413325951443816017994629993401"", ""25659310674993675562345759665114759892400026242514633218387667107987341231962""]",https://polymarket.com/market/xi-jinping-out-before-2027,100.0,trade_policy,china_taiwan,xi-jinping-out-before-2027,asymmetry_prone,False,matched trade_policy keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus
560317,putin-out-before-2027-346,"Putin out as President of Russia by December 31, 2026?","Putin out as President of Russia by December 31, 2026?","This market will resolve to “Yes” if Vladimir Putin ceases to be President of Russia for any period of time between market creation and the specified date (ET). Otherwise, this market will resolve to “No”.

An announcement of Vladimir Putin's resignation/removal before this market's end date will immediately resolve this market to ""Yes"", regardless of when the announced resignation/removal goes into effect.

If the specified individual is detained, effectively removed from the specified position, or otherwise permanently prevented from fulfilling the duties of the specified position within this market’s timeframe, it will qualify for a “Yes” resolution.

The resolution source for this market will be official information from Vladimir Putin and the government of Russia; however, a consensus of credible reporting may also be used.",,,putin-out-before-2027,Putin out as President of Russia by...?,17158205.727302086,1534807.1753,False,2026-12-31T18:30:00Z,"[""350977769852917329387037893294763093471844346281449484439085576212613048126"", ""87073899845581463485186346288398658568334162612963837182986759797304993556208""]",https://polymarket.com/market/putin-out-before-2027-346,100.0,trade_policy,russia_ukraine,putin-out-before-2027,asymmetry_prone,False,matched trade_policy keywords; small decision-maker + information-asymmetry bonus; cross-asset bonus
544092,will-harvey-weinstein-be-sentenced-to-no-prison-time,Will Harvey Weinstein be sentenced to no prison time?,Will Harvey Weinstein be sentenced to no prison time?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,390911.56108600274,3246.91055,False,2025-12-31T12:00:00Z,"[""24327803960645909378149041810697343640752122608192367041827900158592826352552"", ""86488478623677188352872801318507143761188967461168408688159600382919967378486""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-no-prison-time,75.0,elections,united_states,harvey-weinstein-prison-time,public_or_macro_driven,False,matched elections keywords
544094,will-harvey-weinstein-be-sentenced-to-between-5-and-10-years-in-prison,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,96494.31046500061,3402.67818,False,2025-12-31T12:00:00Z,"[""8585617872562550075367684165842985213222082790621129799520234539666057750015"", ""103705222348348023632358209307161171933864556870678885035120650593331360918837""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-between-5-and-10-years-in-prison,75.0,elections,united_states,harvey-weinstein-prison-time,public_or_macro_driven,False,matched elections keywords
544095,will-harvey-weinstein-be-sentenced-to-between-10-and-20-years-in-prison,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,179190.19910799942,4680.62016,False,2025-12-31T12:00:00Z,"[""15540133404064485946536607974212890170021691204987131841181394872998839987451"", ""63603874958591978684257718702104189214159397118281244112857573557732401361881""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-between-10-and-20-years-in-prison,75.0,elections,united_states,harvey-weinstein-prison-time,public_or_macro_driven,False,matched elections keywords
544096,will-harvey-weinstein-be-sentenced-to-between-20-and-30-years-in-prison,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,217987.6546909998,2988.68413,False,2025-12-31T12:00:00Z,"[""40689385937970031985272152180777653235879119412231903065658922913468759560353"", ""109223657334725476924710634471321315385389367621714474291402615707818729630121""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-between-20-and-30-years-in-prison,75.0,elections,united_states,harvey-weinstein-prison-time,public_or_macro_driven,False,matched elections keywords
540820,trump-out-as-president-before-gta-vi-846,Trump out as President before GTA VI?,Trump out as President before GTA VI?,"This market will resolve to ""Yes"" if Donald Trump ceases to be the President of the U.S. for any period of time before Grand Theft Auto VI is officially released in the US. Otherwise, this market will resolve to ""No"".

If neither occurs by July 31, 2026, 11:59 PM ET, this market will resolve to 50-50.

For the purposes of this market, ""release"" refers to the game becoming publicly available for purchase or download in the US. Early access, beta versions, other forms of pre-release availability, or leaks will not count as an official release. If the release is only for certain consoles (e.g. Xbox Series X/S) it will count.

The resolution source for the release of GTA VI is official information from Rockstar Games or its parent company, Take-Two Interactive.

An announcement of Trump's resignation/removal, or a scheduled departure from office due to the outcome of an election will not alone qualify.

Only permanent removal from office will qualify for resolution. Temporary removals, such as temporary invocation of the 25th Amendment, will not count.

The resolution source for Trump leaving the presidency will be a consensus of credible reporting.
",,,what-will-happen-before-gta-vi,What will happen before GTA VI?,694854.2839620088,50701.509,False,2026-07-31T12:00:00Z,"[""108999723207897941876452935557011604067917389120996960199512481363958770540884"", ""64533579809297525579033609963634939501013332859992608996100633472507000251907""]",https://polymarket.com/market/trump-out-as-president-before-gta-vi-846,75.0,elections,united_states,what-will-happen-before-gta-vi,public_or_macro_driven,False,matched elections keywords
544097,will-harvey-weinstein-be-sentenced-to-more-than-30-years-in-prison,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Will Harvey Weinstein be sentenced to more than 30 years in prison?,"This market will resolve according to the prison sentence, if any, imposed on Harvey Weinstein as part of his ongoing New York retrial (People of the State of New York v. Harvey Weinstein) by July 31, 2026, 11:59 PM ET.

This market will resolve immediately based on the first sentence rendered in this case, regardless of any appeals. If Weinstein is found not guilty, there is a mistrial, or if the first sentencing does not include any jail or prison time, this market will resolve to ""No Prison Time.""

If no sentencing takes place by July 31, 2026, 11:59 PM ET, this market will also resolve to ""No Prison Time.""

If the sentence falls exactly between two brackets, then this market will resolve to the higher range bracket.

For the purposes of this market, it does not matter whether the sentence is concurrent or consecutive to any existing sentence Weinstein is already serving. The market will resolve based on the total prison sentence imposed in this case.

The primary resolution source for this market will be official information from the New York court system or other involved U.S. government sources; however, a consensus of credible reporting may also be used.",,,harvey-weinstein-prison-time,Harvey Weinstein prison time?,92382.2018,2828.20194,False,2025-12-31T12:00:00Z,"[""87036266705700330884624690101790543034325645582506946990660049003915176778714"", ""26608800110066527607246656145735191327716408714826934367635297922290688100618""]",https://polymarket.com/market/will-harvey-weinstein-be-sentenced-to-more-than-30-years-in-prison,75.0,elections,united_states,harvey-weinstein-prison-time,public_or_macro_driven,False,matched elections keywords
558934,will-spain-win-the-2026-fifa-world-cup-963,Will Spain win the 2026 FIFA World Cup?,Will Spain win the 2026 FIFA World Cup?,"This market will resolve according to the national team that wins the 2026 FIFA World Cup.

If at any point it becomes impossible for this team to win the FIFA World Cup based on the rules of FIFA (e.g., they are eliminated in the knockout stage), this market will resolve immediately to “No”.

If the 2026 FIFA World Cup is permanently canceled or has not been completed by October 13, 2026, 11:59 PM this market will resolve to “Other”.

The primary resolution source will be official information from FIFA, however, a consensus of credible reporting may also be used.",,,world-cup-winner,World Cup Winner ,116142367.86951265,8725258.54863,False,2026-07-20T00:00:00Z,"[""4394372887385518214471608448209527405727552777602031099972143344338178308080"", ""112680630004798425069810935278212000865453267506345451433803052322987302357330""]",https://polymarket.com/market/will-spain-win-the-2026-fifa-world-cup-963,75.0,elections,unknown,world-cup-winner,public_or_macro_driven,False,matched elections keywords
