market_id,market_name,concentration_available,concentration_tier,concentration_red_flag,top1_wallet_share,top3_wallet_share,wallet_gini,concentration_reason
593973,Will Bernie endorse Kshama Sawant for WA-09 by Nov 2 2026 ET?,False,unavailable,False,,,,no trades available for the window
629506,Will the Republicans win the Nevada governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629629,Will an independent win the Rhode Island governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629721,Will the Republicans win the Wisconsin governor race in 2026?,False,unavailable,False,,,,no trades available for the window
593974,Will Bernie endorse Dan Osborn for NE-Sen by Nov 2 2026 ET?,False,unavailable,False,,,,no trades available for the window
664045,Will Mamdani freeze NYC rents before 2027?,False,unavailable,False,,,,no trades available for the window
629505,Will the Democrats win the Nevada governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629413,Will the Republicans win the Kansas governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629720,Will the Democrats win the Wisconsin governor race in 2026?,False,unavailable,False,,,,no trades available for the window
665261,Will Donald Trump visit Canada in 2026?,False,unavailable,False,,,,no trades available for the window
629412,Will the Democrats win the Kansas governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629519,Will the Republicans win the New Hampshire governor race in 2026?,False,unavailable,False,,,,no trades available for the window
630833,Will an independent win the Montana Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
656313,OpenAI $1t+ IPO before 2027?,False,unavailable,False,,,,no trades available for the window
665265,Will Donald Trump visit Germany in 2026?,False,unavailable,False,,,,no trades available for the window
567688,Netanyahu out by end of 2026?,False,unavailable,False,,,,no trades available for the window
593972,Will Bernie endorse James Talarico for TX-Sen by Nov 2 2026 ET?,False,unavailable,False,,,,no trades available for the window
629691,Will the Republicans win the Texas governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629557,Will the Democrats win the Ohio governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629398,Will the Republicans win the Iowa governor race in 2026?,False,unavailable,False,,,,no trades available for the window
665264,Will Donald Trump visit Japan in 2026?,False,unavailable,False,,,,no trades available for the window
631058,Will the Republicans win the Ohio Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
629491,Will the Republicans win the Nebraska governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629490,Will the Democrats win the Nebraska governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629707,Will the Democrats win the Vermont governor race in 2026?,False,unavailable,False,,,,no trades available for the window
630806,Will the Republicans win the Michigan Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
630832,Will the Republicans win the Montana Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
665260,Will Donald Trump visit Israel in 2026?,False,unavailable,False,,,,no trades available for the window
631057,Will the Democrats win the Ohio Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
629558,Will the Republicans win the Ohio governor race in 2026?,False,unavailable,False,,,,no trades available for the window
665246,Yoon out of custody before 2027?,False,unavailable,False,,,,no trades available for the window
629183,Will the Democrats win the Arizona governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629518,Will the Democrats win the New Hampshire governor race in 2026?,False,unavailable,False,,,,no trades available for the window
634974,Will Dan Sullivan win the Alaska Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
630805,Will the Democrats win the Michigan Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
630693,Will the Republicans win the Georgia Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
637910,Mitch McConnell steps down from Senate before his term ends?,False,unavailable,False,,,,no trades available for the window
648383,Billionaire one-time wealth tax passes in California election 2026?,False,unavailable,False,,,,no trades available for the window
634976,Will Mary Peltola win the Alaska Senate race in 2026?,False,unavailable,False,,,,no trades available for the window
635024,Will Bill Walker win the 2026 Alaska governor election?,False,unavailable,False,,,,no trades available for the window
629030,Will Karen Bass win the 2026 Los Angeles mayoral election?,False,unavailable,False,,,,no trades available for the window
629184,Will the Republicans win the Arizona governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629666,Will the Democrats win the Tennessee governor race in 2026?,False,unavailable,False,,,,no trades available for the window
601920,Will any presidential candidate win outright in the first round of the Brazil election?,False,unavailable,False,,,,no trades available for the window
629351,Will the Republicans win the Hawaii governor race in 2026?,False,unavailable,False,,,,no trades available for the window
629338,Will the Republicans win the Georgia governor race in 2026?,False,unavailable,False,,,,no trades available for the window
