market_id,market_name,anomaly_trigger_time_utc,price_before,price_after,max_abs_move,score_magnitude,score_speed,score_persistence,score_unusualness,time_to_close_bonus,concentration_available,concentration_tier,concentration_red_flag,concentration_bonus,top1_wallet_share,top3_wallet_share,wallet_gini,concentration_reason,fingerprint_tier,fingerprint_red_flag,fingerprint_bonus,fingerprint_matched_wallets,anomaly_score,observations,anomaly_class
629707,Will the Democrats win the Vermont governor race in 2026?,2026-09-25T11:00:17Z,0.061,0.2035,0.1425,100.0,100.0,94.4,100.0,0.0,True,red_flag,True,1.0,0.1511,0.3619,0.8198,"THICK market moved by a few wallets (top1=15%, top3=36%, gini=0.82)",none,False,0.0,0,99.9,337,strong
629040,Will Nithya Raman win the 2026 Los Angeles mayoral election?,2026-09-23T17:00:15Z,0.4205,0.5855,0.165,100.0,100.0,93.9,100.0,0.0,True,red_flag,True,1.0,0.2368,0.3766,0.9138,"THICK market moved by a few wallets (top1=24%, top3=38%, gini=0.91)",none,False,0.0,0,99.8,337,strong
629708,Will the Republicans win the Vermont governor race in 2026?,2026-09-25T12:00:19Z,0.92,0.795,0.125,100.0,100.0,100.0,81.7,0.0,True,concentrated_thin,False,0.0,0.1784,0.3981,0.859,"concentrated, but market is thin where concentration is unremarkable",none,False,0.0,0,96.3,337,strong
629691,Will the Republicans win the Texas governor race in 2026?,2026-09-23T02:00:18Z,0.7905,0.68,0.1105,100.0,100.0,74.8,100.0,0.0,True,red_flag,True,1.0,0.1472,0.3194,0.8353,"THICK market moved by a few wallets (top1=15%, top3=32%, gini=0.84)",none,False,0.0,0,96.0,337,strong
629690,Will the Democrats win the Texas governor race in 2026?,2026-09-23T02:00:17Z,0.215,0.325,0.11,100.0,100.0,74.2,100.0,0.0,True,red_flag,True,1.0,0.1121,0.3087,0.846,"THICK market moved by a few wallets (top1=11%, top3=31%, gini=0.85)",none,False,0.0,0,95.8,337,strong
629030,Will Karen Bass win the 2026 Los Angeles mayoral election?,2026-09-23T14:00:19Z,0.565,0.405,0.16,100.0,100.0,90.6,81.3,0.0,True,red_flag,True,1.0,0.1583,0.3894,0.9372,"THICK market moved by a few wallets (top1=16%, top3=39%, gini=0.94)",none,False,0.0,0,95.4,337,strong
593972,Will Bernie endorse James Talarico for TX-Sen by Nov 2 2026 ET?,2026-09-24T03:00:19Z,0.155,0.33,0.175,100.0,100.0,66.3,100.0,0.0,True,diffuse,False,0.0,0.0688,0.1662,0.7776,wallet participation is diffuse,none,False,0.0,0,93.3,337,strong
620335,"Aziz Akhannouch out as Morocco Prime Minister by December 31, 2026?",2026-09-24T04:00:10Z,0.818,0.897,0.079,79.0,100.0,95.7,97.8,0.0,True,diffuse,False,0.0,0.0641,0.1293,0.4683,wallet participation is diffuse,none,False,0.0,0,91.3,337,strong
630734,Will the Republicans win the Iowa Senate race in 2026?,2026-09-22T13:00:15Z,0.605,0.51,0.095,95.0,100.0,95.6,61.5,0.0,True,red_flag,True,1.0,0.2646,0.3942,0.9224,"THICK market moved by a few wallets (top1=26%, top3=39%, gini=0.92)",none,False,0.0,0,90.7,337,strong
630707,Will Todd Achilles win the Idaho Senate race in 2026?,2026-09-19T20:00:15Z,0.0335,0.5035,0.47,100.0,100.0,58.7,93.7,0.0,True,concentrated_thin,False,0.0,0.4311,0.7279,0.688,"concentrated, but market is thin where concentration is unremarkable",none,False,0.0,0,90.5,337,strong
664045,Will Mamdani freeze NYC rents before 2027?,2026-09-23T20:00:15Z,0.901,0.5435,0.3575,100.0,100.0,42.6,100.0,0.0,True,red_flag,True,1.0,0.1268,0.3185,0.8536,"THICK market moved by a few wallets (top1=13%, top3=32%, gini=0.85)",none,False,0.0,0,89.5,337,strong
630806,Will the Republicans win the Michigan Senate race in 2026?,2026-09-23T00:00:22Z,0.34,0.245,0.095,95.0,100.0,89.5,60.6,0.0,True,red_flag,True,1.0,0.2376,0.4263,0.8852,"THICK market moved by a few wallets (top1=24%, top3=43%, gini=0.89)",none,False,0.0,0,89.3,337,strong
593974,Will Bernie endorse Dan Osborn for NE-Sen by Nov 2 2026 ET?,2026-09-18T14:00:20Z,0.4825,0.104,0.3785,100.0,100.0,100.0,42.8,0.0,True,concentrated_thin,False,0.0,0.3211,0.5778,0.8236,"concentrated, but market is thin where concentration is unremarkable",none,False,0.0,0,88.6,337,strong
629506,Will the Republicans win the Nevada governor race in 2026?,2026-09-13T09:00:16Z,0.565,0.325,0.24,100.0,100.0,37.2,90.8,0.0,True,red_flag,True,1.0,0.2801,0.4422,0.8782,"THICK market moved by a few wallets (top1=28%, top3=44%, gini=0.88)",none,False,0.0,0,86.6,337,strong
629505,Will the Democrats win the Nevada governor race in 2026?,2026-09-13T14:00:17Z,0.44,0.545,0.105,100.0,100.0,57.1,63.8,0.0,True,red_flag,True,1.0,0.2742,0.3654,0.8374,"THICK market moved by a few wallets (top1=27%, top3=37%, gini=0.84)",none,False,0.0,0,85.2,336,strong
630733,Will the Democrats win the Iowa Senate race in 2026?,2026-09-22T19:00:16Z,0.395,0.49,0.095,95.0,80.0,100.0,53.3,0.0,True,red_flag,True,1.0,0.1467,0.3993,0.9284,"THICK market moved by a few wallets (top1=15%, top3=40%, gini=0.93)",none,False,0.0,0,84.9,337,medium
637910,Mitch McConnell steps down from Senate before his term ends?,2026-09-14T23:00:13Z,0.18,0.065,0.115,100.0,100.0,47.1,70.0,0.0,True,red_flag,True,1.0,0.2904,0.472,0.9171,"THICK market moved by a few wallets (top1=29%, top3=47%, gini=0.92)",none,False,0.0,0,84.4,337,medium
630805,Will the Democrats win the Michigan Senate race in 2026?,2026-09-23T00:00:18Z,0.67,0.755,0.085,85.0,100.0,82.4,60.2,0.0,True,red_flag,True,1.0,0.1328,0.2855,0.9071,"THICK market moved by a few wallets (top1=13%, top3=29%, gini=0.91)",none,False,0.0,0,84.3,337,medium
629337,Will the Democrats win the Georgia governor race in 2026?,2026-09-24T12:00:13Z,0.635,0.545,0.09,90.0,80.0,100.0,53.3,0.0,True,red_flag,True,1.0,0.1811,0.3096,0.8349,"THICK market moved by a few wallets (top1=18%, top3=31%, gini=0.83)",none,False,0.0,0,83.2,337,medium
634976,Will Mary Peltola win the Alaska Senate race in 2026?,2026-09-22T19:00:16Z,0.735,0.81,0.075,75.0,100.0,94.7,59.5,0.0,True,red_flag,True,1.0,0.205,0.405,0.9195,"THICK market moved by a few wallets (top1=20%, top3=41%, gini=0.92)",none,False,0.0,0,83.1,337,medium
634974,Will Dan Sullivan win the Alaska Senate race in 2026?,2026-09-22T19:00:17Z,0.265,0.185,0.08,80.0,100.0,87.5,57.8,0.0,True,red_flag,True,1.0,0.168,0.3541,0.864,"THICK market moved by a few wallets (top1=17%, top3=35%, gini=0.86)",none,False,0.0,0,83.1,336,medium
622738,"Will Hyperliquid perform an airdrop by December 31, 2026? ",2026-09-23T04:00:13Z,0.115,0.23,0.115,100.0,100.0,59.1,51.1,0.0,True,red_flag,True,1.0,0.1494,0.3063,0.8408,"THICK market moved by a few wallets (top1=15%, top3=31%, gini=0.84)",none,False,0.0,0,83.0,337,medium
629338,Will the Republicans win the Georgia governor race in 2026?,2026-09-24T12:00:16Z,0.355,0.455,0.1,100.0,70.0,100.0,52.4,0.0,True,diffuse,False,0.0,0.1165,0.2498,0.7941,wallet participation is diffuse,none,False,0.0,0,83.0,337,medium
630747,Will the Republicans win the Kansas Senate race in 2026?,2026-09-18T13:00:16Z,0.76,0.645,0.115,100.0,100.0,44.3,57.9,0.0,True,red_flag,True,1.0,0.1815,0.4556,0.8979,"THICK market moved by a few wallets (top1=18%, top3=46%, gini=0.90)",none,False,0.0,0,81.4,337,medium
665260,Will Donald Trump visit Israel in 2026?,2026-09-22T17:00:16Z,0.1,0.185,0.085,85.0,100.0,78.8,53.1,0.0,True,diffuse,False,0.0,0.1599,0.3521,0.7996,wallet participation is diffuse,none,False,0.0,0,81.1,336,medium
630746,Will the Democrats win the Kansas Senate race in 2026?,2026-09-18T13:00:18Z,0.25,0.35,0.1,100.0,100.0,31.0,68.1,0.0,True,red_flag,True,1.0,0.1775,0.4603,0.8851,"THICK market moved by a few wallets (top1=18%, top3=46%, gini=0.89)",none,False,0.0,0,80.8,336,medium
630772,Will the Democrats win the Maine Senate race in 2026?,2026-09-24T14:00:16Z,0.74,0.645,0.095,95.0,90.0,71.6,47.3,0.0,True,red_flag,True,1.0,0.2151,0.3781,0.9176,"THICK market moved by a few wallets (top1=22%, top3=38%, gini=0.92)",none,False,0.0,0,80.5,337,medium
630773,Will the Republicans win the Maine Senate race in 2026?,2026-09-24T12:00:21Z,0.265,0.345,0.08,80.0,100.0,87.5,41.2,0.0,True,red_flag,True,1.0,0.1988,0.4297,0.9035,"THICK market moved by a few wallets (top1=20%, top3=43%, gini=0.90)",none,False,0.0,0,79.7,337,medium
601920,Will any presidential candidate win outright in the first round of the Brazil election?,2026-09-14T19:00:13Z,0.0485,0.1255,0.077,77.0,98.0,53.8,81.7,0.0,True,red_flag,True,1.0,0.0977,0.2157,0.8658,"THICK market moved by a few wallets (top1=10%, top3=22%, gini=0.87)",none,False,0.0,0,79.5,337,medium
567688,Netanyahu out by end of 2026?,2026-09-19T11:00:16Z,0.465,0.535,0.07,70.0,90.0,97.1,53.7,0.0,True,red_flag,True,1.0,0.1277,0.2568,0.9022,"THICK market moved by a few wallets (top1=13%, top3=26%, gini=0.90)",none,False,0.0,0,78.2,337,medium
653788,OpenAI announces it has achieved AGI before 2027?,2026-09-13T15:00:22Z,0.275,0.205,0.07,70.0,90.0,100.0,50.5,0.0,True,red_flag,True,1.0,0.15,0.2606,0.8351,"THICK market moved by a few wallets (top1=15%, top3=26%, gini=0.84)",none,False,0.0,0,78.1,336,medium
